'model','brand','line','plant','quote_reference','remarks','meta_series_series'
J40XN,Hyster,#10,Greenville,'','','935'
ERP040VF,Yale,#10,Greenville,'2023-958042','','955'
R1.4 406,Hyster,#1,Maximal,'',Master sheet std not set,'406'
MR14 961,Yale,#1,Maximal,'2023-978203',Master sheet std not set,'961'
R1.6 406,Hyster,#2,Maximal,'',Master sheet std not set,'406'
MR16 961,Yale,#2,Maximal,'2023-978203',Master sheet std not set,'961'
E50XNL,Hyster,#7,Greenville,'','Quote error, no PB option in NOVO,  special Requirement for ordering','268'
ERC050VGL,Yale,#7,Greenville,'2023-959199','Quote error, no PB option in NOVO,  special Requirement for ordering','968'
E50XNM,Hyster,#2,Greenville,'','','268'
ERC050VG,Yale,#2,Greenville,'2023-959199','','968'
E55XNM,Hyster,#3,Greenville,'','','268'
ERC055VG,Yale,#3,Greenville,'2023-959199','','968'
E60XNL,Hyster,#8,Greenville,'2023-963765','Quote error, no PB option in NOVO,  special Requirement for ordering','268'
ERC060VGL,Yale,#8,Greenville,'2023-959199','Quote error, no PB option in NOVO,  special Requirement for ordering','968'
ME45XN,Hyster,#1,Greenville,'2023-963765','','268'
ERC045VG,Yale,#1,Greenville,'2023-959199','','968'
ME60XN,Hyster,#4,Greenville,'2023-963765','','268'
ERC060VG,Yale,#4,Greenville,'2023-959199','','968'
ME65XN,Hyster,#5,Greenville,'2023-963765','','268'
ERC065VG,Yale,#5,Greenville,'2023-959199','','968'
ME70XN,Hyster,#6,Greenville,'2023-963765','','268'
ERC070VG,Yale,#6,Greenville,'2023-959199','','968'
J2.2XN,Hyster,#4,Craigavon,'2023-963765','','276'
ERP22VL,Yale,#4,Craigavon,'2023-963810','','976'
J2.5XN,Hyster,#5,Craigavon,'2023-963765','','276'
ERP25VL,Yale,#5,Craigavon,'2023-963810','','976'
J2.5XNL,Hyster,#8,Craigavon,'2023-963765','STD NO battery , no PB option and std discount in NOVO','276'
ERP25VLL,Yale,#8,Craigavon,'2023-963810','STD NO battery , no PB option and std discount in NOVO','976'
J3.0XN,Hyster,#6,Craigavon,'2023-963765','','276'
ERP30VL,Yale,#6,Craigavon,'2023-963810','','976'
J3.0XNL,Hyster,#9,Craigavon,'2023-963778','STD NO battery , no PB option and std discount in NOVO','276'
ERP30VLL,Yale,#9,Craigavon,'2023-963810','STD NO battery , no PB option and std discount in NOVO','976'
J3.5XN,Hyster,#7,Craigavon,'2023-963778','','276'
ERP35VL,Yale,#7,Craigavon,'2023-963810','','976'
J4.0XN,Hyster,#1,Craigavon,'2023-963778','','970'
ERP40VM,Yale,#1,Craigavon,'2023-963819','','985'
J4.5XN,Hyster,#2,Craigavon,'2023-963778','','970'
ERP45VM,Yale,#2,Craigavon,'2023-963819','','985'
J5.0XN,Hyster,#3,Craigavon,'2023-963778','','970'
ERP50VM,Yale,#3,Craigavon,'2023-963819','','985'
J5.0XN6,Hyster,#4,Craigavon,'2023-963778','','970'
ERP50VM6,Yale,#4,Craigavon,'2023-963819','','985'
J5.5XN6,Hyster,#5,Craigavon,'2023-963778','','970'
ERP55VM6,Yale,#5,Craigavon,'2023-963819','','985'
W45ZHD2,Hyster,#1,Ramos,'2023-963778','','419'
